Species,+/-,H,He,C,N,O,F,P,S,Cl,Na,Mg,Al,Si,K,Ca,Ti,Fe,MolMass,n,f,T3[K],P3[kPa]
C3O,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52.0315,4,6,0.00,0.000E+00
C2N2+,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0343,4,6,0.00,0.000E+00
NCCN,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0348,4,4,245.32,7.510E+01
SiC2H+,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53.1143,4,6,0.00,0.000E+00
SiC2H,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53.1148,4,6,0.00,0.000E+00
SiNCH+,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,55.1103,4,6,0.00,0.000E+00
HC2P+,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56.0026,4,6,0.00,0.000E+00
HC2P,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56.0031,4,6,0.00,0.000E+00
HC2S+,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.0938,4,6,0.00,0.000E+00
HOCS+,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,61.0825,4,6,0.00,0.000E+00
HSiO2+,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,61.0917,4,6,0.00,0.000E+00
SiC3+,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.1171,4,6,0.00,0.000E+00
SiC3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.1176,4,6,0.00,0.000E+00
HSO2+,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,65.0712,4,6,0.00,0.000E+00
C3P,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67.0059,4,6,0.00,0.000E+00
H2S2+,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66.1454,4,6,0.00,0.000E+00
H2S2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,66.1459,4,6,0.00,0.000E+00
C3S+,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.0966,4,6,0.00,0.000E+00
C3S,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.0971,4,6,0.00,0.000E+00
CH4+,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0420,5,6,0.00,0.000E+00
CH4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0425,5,6,90.68,1.170E+01
NH4+,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0380,5,6,0.00,0.000E+00
C2H3+,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0447,5,6,0.00,0.000E+00
C2H3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0452,5,6,0.00,0.000E+00
CH2NH,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0412,5,6,0.00,0.000E+00
H3CO+,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0334,5,6,0.00,0.000E+00
CH3O+,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0333,5,6,0.00,0.000E+00
CH2OH+,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0333,5,6,0.00,0.000E+00
SiH4+,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.1168,5,6,0.00,0.000E+00
SiH4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.1173,5,6,0.00,0.000E+00
C3H2+,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0475,5,6,0.00,0.000E+00
C3H2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0480,5,6,0.00,0.000E+00
H2CCC,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0480,5,6,0.00,0.000E+00
CH2CN+,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0435,5,6,0.00,0.000E+00
CH2CN,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0440,5,6,0.00,0.000E+00
CH2CO+,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0362,5,6,0.00,0.000E+00
CH2CO,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0367,5,6,0.00,0.000E+00
NH2CN,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0400,5,5,318.71,0.000E+00
SiCH3+,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.1195,5,6,0.00,0.000E+00
SiCH3,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.1200,5,6,0.00,0.000E+00
H2CNO+,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0322,5,6,0.00,0.000E+00
H2NCO+,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0322,5,6,0.00,0.000E+00
H2OCN+,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0322,5,6,0.00,0.000E+00
HCNOH+,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0322,5,6,0.00,0.000E+00
HNCOH+,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0322,5,6,0.00,0.000E+00
PCH3+,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.0078,5,6,0.00,0.000E+00
CH2PH,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.0083,5,6,0.00,0.000E+00
HCOOH+,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46.0249,5,6,0.00,0.000E+00
HCOOH,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46.0254,5,6,281.40,2.200E+00
H3CS+,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47.0990,5,6,0.00,0.000E+00
H3SiO+,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,47.1082,5,6,0.00,0.000E+00
PNH3+,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,48.0038,5,6,0.00,0.000E+00
C4H+,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0502,5,5,0.00,0.000E+00
C4H,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0507,5,5,0.00,0.000E+00
C4H-,-1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0512,5,5,0.00,0.000E+00
HC3N+,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0462,5,6,0.00,0.000E+00
HC3N,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0467,5,6,0.00,0.000E+00
HNC3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0467,5,6,0.00,0.000E+00
HC3O+,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.0389,5,6,0.00,0.000E+00
NCCNH+,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0422,5,6,0.00,0.000E+00
SiC2H2+,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.1223,5,6,0.00,0.000E+00
SiC2H2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54.1228,5,6,0.00,0.000E+00
