Species,+/-,H,He,C,N,O,F,P,S,Cl,Na,Mg,Al,Si,K,Ca,Ti,Fe,MolMass,n,f,T3[K],P3[kPa]
C6H+,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0716,7,6,0.00,0.000E+00
C6H,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0721,7,6,0.00,0.000E+00
C6H-,-1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0726,7,6,0.00,0.000E+00
HC5N+,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0676,7,6,0.00,0.000E+00
HC5N,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0681,7,6,0.00,0.000E+00
C7+,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0744,7,6,0.00,0.000E+00
C7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0749,7,6,0.00,0.000E+00
C7-,-1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0754,7,6,0.00,0.000E+00
C3N4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0589,7,4,0.00,0.000E+00
CH3CH3+,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0685,8,6,0.00,0.000E+00
C2H6+,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0685,8,6,0.00,0.000E+00
CH3CH3,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0690,8,6,89.89,8.000E-04
C2H6,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0690,8,6,91.00,1.100E-03
C3H5+,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0713,8,6,0.00,0.000E+00
pAAld+,1,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.0600,8,6,0.00,0.000E+00
C4H4+,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0741,8,6,0.00,0.000E+00
Butenyn,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0746,8,6,0.00,0.000E+00
pAcNit+,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0701,8,6,0.00,0.000E+00
COOCH4+,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60.0515,8,6,0.00,0.000E+00
HCOOCH3,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60.0520,8,6,289.80,0.000E+00
C5H3+,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0768,8,6,0.00,0.000E+00
CH3C3N+,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0728,8,6,0.00,0.000E+00
CH3C3N,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0733,8,6,0.00,0.000E+00
MC+,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0688,8,6,0.00,0.000E+00
C6H2+,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0796,8,6,0.00,0.000E+00
C6H2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0801,8,6,0.00,0.000E+00
HC5NH+,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0756,8,6,0.00,0.000E+00
C7H+,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0823,8,6,0.00,0.000E+00
C7H,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0828,8,6,0.00,0.000E+00
C7H-,-1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0833,8,6,0.00,0.000E+00
C8+,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0851,8,6,0.00,0.000E+00
C8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0856,8,6,0.00,0.000E+00
C8-,-1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0861,8,6,0.00,0.000E+00
C7N+,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0811,8,6,0.00,0.000E+00
C7N,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0816,8,6,0.00,0.000E+00
C2H7+,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0770,9,6,0.00,0.000E+00
Propn+,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0792,9,6,0.00,0.000E+00
Propn,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0797,9,6,87.80,9.500E+02
C3H6+,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0792,9,4,0.00,0.000E+00
C3H6,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0797,9,4,145.80,0.000E+00
C2H5OH+,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.0679,9,6,0.00,0.000E+00
C2H5OH,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.0684,9,6,150.00,0.000E+00
CH3OCH3,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.0684,9,6,131.60,0.000E+00
DME+,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.0679,9,6,0.00,0.000E+00
C4H5+,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0820,9,6,0.00,0.000E+00
C2H5CN,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0785,9,6,180.37,0.000E+00
H5C2O2+,1,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,61.0594,9,6,0.00,0.000E+00
C5H4+,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0848,9,6,0.00,0.000E+00
CH3C4H+,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0848,9,6,0.00,0.000E+00
CH3C4H,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0853,9,6,0.00,0.000E+00
pMCA+,1,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0808,9,6,0.00,0.000E+00
C6H3+,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0875,9,6,0.00,0.000E+00
H3C5N+,1,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0835,9,6,0.00,0.000E+00
C7H2+,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0903,9,6,0.00,0.000E+00
C7H2,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0908,9,6,0.00,0.000E+00
C8H+,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0930,9,6,0.00,0.000E+00
C8H,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0935,9,6,0.00,0.000E+00
C8H-,-1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0940,9,6,0.00,0.000E+00
HC7N+,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0890,9,6,0.00,0.000E+00
HC7N,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0895,9,6,0.00,0.000E+00
C9+,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0960,9,6,0.00,0.000E+00
C9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0960,9,6,0.00,0.000E+00
C9-,-1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0970,9,6,0.00,0.000E+00
C2H8+,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0841,10,4,0.00,0.000E+00
C3H7+,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0872,10,6,0.00,0.000E+00
pEtOH+,1,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.0759,10,6,0.00,0.000E+00
pDME+,1,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.0759,10,6,0.00,0.000E+00
13Butd,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0902,10,4,240.80,0.000E+00
pEtCy+,1,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0859,10,6,0.00,0.000E+00
Actn+,1,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0786,10,6,0.00,0.000E+00
Actn,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58.0791,10,6,178.50,0.000E+00
C5H5+,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0940,10,6,0.00,0.000E+00
C6H4+,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0955,10,6,0.00,0.000E+00
C7H3+,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0982,10,6,0.00,0.000E+00
MCDA,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0947,10,6,0.00,0.000E+00
CH3C5N,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0946,10,4,0.00,0.000E+00
C8H2+,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1010,10,6,0.00,0.000E+00
C8H2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1015,10,6,0.00,0.000E+00
H2C7N+,1,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0970,10,6,0.00,0.000E+00
C9H+,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.1040,10,6,0.00,0.000E+00
C9H,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.1040,10,6,0.00,0.000E+00
C9H-,-1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.1050,10,6,0.00,0.000E+00
